time,cat-694853-discharge,cat-694852-discharge,cat-694856-discharge,cat-694725-discharge,cat-694855-discharge,cat-694724-discharge,cat-694854-discharge,cat-694723-discharge,cat-694722-discharge,storm_name
2017-09-17 23:00:00,27987.2172022111,75732.16366816954,14497.356727697408,40043.37893060385,13492.311949512326,5579.168754309294,24850.67570089512,5819.573632534697,4653.172718944684,Tropical Storm Jose
2017-09-18 00:00:00,28364.235049961964,76761.09681461929,14476.99865939081,39987.33431912643,13473.409217168624,5571.3291977317995,25095.1874784753,5811.419533413514,4646.652923170275,Tropical Storm Jose
2017-09-18 01:00:00,28704.22037538937,77690.00418085678,14456.737074820268,39931.289707649026,13454.531129847535,5563.54261113118,25312.760756872944,5803.2654342923315,4640.133127395866,Tropical Storm Jose
2017-09-18 02:00:00,29009.404053332077,78524.09946585061,14436.668457721824,39875.245096171595,13435.702332571676,5555.756024530561,25504.56287105262,5795.145886438611,4633.640957874739,Tropical Storm Jose
2017-09-18 03:00:00,29280.6784337256,79267.72741874128,14416.406873151278,39819.448469700714,13416.922825341038,5547.969437929942,25672.12033596801,5787.060889852353,4627.176414606893,Tropical Storm Jose
2017-09-18 04:00:00,29520.94365386032,79926.7775883637,14396.241772316782,39763.899828236375,13398.1433181104,5540.209336317758,25816.510691586423,5778.941341998633,4620.684245085766,Tropical Storm Jose
2017-09-18 05:00:00,29731.315151155624,80505.5947238583,14376.173155218336,39708.35118677202,13379.413100924989,5532.475719694013,25939.170657864255,5770.890896679838,4614.247328071201,Tropical Storm Jose
2017-09-18 06:00:00,29913.57762548252,81008.23392442294,14356.104538119893,39652.80254530768,13360.707528762186,5524.742103070268,26041.177774768803,5762.805900093581,4607.782784803357,Tropical Storm Jose
2017-09-18 07:00:00,30069.292689228143,81438.94338921718,14336.035921021445,39597.25390384333,13342.05124664461,5517.034971434961,26123.609582267374,5754.755454774786,4601.345867788792,Tropical Storm Jose
2017-09-18 08:00:00,30199.798867295747,81801.19891755343,14315.870820186949,39541.95324738552,13323.419609549648,5509.327839799654,26187.54362032727,5746.705009455991,4594.908950774227,Tropical Storm Jose
2017-09-18 09:00:00,30306.4346845886,82099.44180855308,14295.898686824556,39486.900575934254,13304.812617477295,5501.620708164347,26233.967633918503,5738.689115404659,4588.499660012944,Tropical Storm Jose
2017-09-18 10:00:00,30390.538666009943,82335.98926175771,14275.92655346216,39431.84790448298,13286.230270427555,5493.940061517478,26263.9591630084,5730.673221353327,4582.090369251662,Tropical Storm Jose
2017-09-18 11:00:00,30452.780074011414,82514.31707647973,14256.050903835816,39376.7952330317,13267.697213423042,5486.285899859046,26278.41615756969,5722.691878569456,4575.708704743661,Tropical Storm Jose
2017-09-18 12:00:00,30494.94360846403,82637.61140208885,14236.07877047342,39321.74256158044,13249.188801441142,5478.631738200613,26278.236567575143,5714.710535785587,4569.327040235659,Tropical Storm Jose
2017-09-18 13:00:00,30517.69853181941,82708.67218803114,14216.299604583128,39266.9378751357,13230.729679504466,5471.004061530619,26264.22854800023,5706.729193001717,4562.945375727657,Tropical Storm Jose
2017-09-18 14:00:00,30522.16028149693,82730.39593373361,14196.423954956785,39212.381173697504,13212.2952025904,5463.376384860624,26237.20025382041,5698.7824014853095,4556.591337472937,Tropical Storm Jose
2017-09-18 15:00:00,30509.444294915986,82705.67913862327,14176.644789066488,39157.57648725277,13193.88537069895,5455.748708190629,26197.95984001118,5690.835609968904,4550.237299218216,Tropical Storm Jose
2017-09-18 16:00:00,30480.442922012073,82637.22520216527,14156.962106912244,39103.01978581458,13175.50018383011,5448.147516509071,26147.315461548005,5682.923369719958,4543.910887216778,Tropical Storm Jose
2017-09-18 17:00:00,30436.271600204574,82527.54442386303,14137.18294102195,39048.71106938291,13157.164287006492,5440.5728098159525,26085.805888414543,5675.011129471015,4537.58447521534,Tropical Storm Jose
2017-09-18 18:00:00,30378.045766912874,82379.34020318174,14117.500258867709,38994.40235295126,13138.853035205491,5432.998103122831,26014.329070583535,5667.09888922207,4531.258063213901,Tropical Storm Jose
2017-09-18 19:00:00,30306.211597104724,82194.83318968213,14097.914060449511,38940.0936365196,13120.566428427102,5425.449881418151,25933.333983041368,5659.221200240589,4524.959277465743,Tropical Storm Jose
2017-09-18 20:00:00,30221.8845281995,81976.43713288665,14078.32786203132,38885.784920087935,13102.329111693936,5417.901659713468,25843.628780763513,5651.343511259107,4518.660491717586,Tropical Storm Jose
2017-09-18 21:00:00,30125.733822648835,81726.27613237513,14058.741663613122,38831.72418866281,13084.091794960772,5410.353438008786,25745.572643739073,5643.500373545087,4512.3893322227095,Tropical Storm Jose
2017-09-18 22:00:00,30018.87491787211,81446.28118776556,14039.155465194928,38777.91144224423,13065.90376827283,5402.831701292542,25639.88393194624,5635.657235831069,4506.1181727278345,Tropical Storm Jose
2017-09-18 23:00:00,29901.5309013532,81138.47984865682,14019.665750512784,38723.8507108191,13047.765031630111,5395.336449564733,25527.10141536868,5627.814098117049,4499.847013232958,Tropical Storm Jose
2017-09-19 00:00:00,29774.59412302762,80804.80311466694,14000.176035830644,38670.285949407065,13029.65094001001,5387.841197836926,25407.674068992754,5620.005511670493,4493.603479991364,Tropical Storm Jose
2017-09-19 01:00:00,29638.73384534698,80446.98888545208,13980.782804884548,38616.47320298847,13011.536848389906,5380.372431097557,25282.14066280212,5612.196925223936,4487.359946749769,Tropical Storm Jose
2017-09-19 02:00:00,29494.8424182468,80066.77506066847,13961.389573938455,38562.90844157643,12993.49669183764,5372.903664358186,25150.950171783155,5604.422890044844,4481.144039761456,Tropical Storm Jose
2017-09-19 03:00:00,29343.14292921095,79665.8029899914,13941.99634299236,38509.343680164384,12975.456535285372,5365.434897618817,25014.461775924956,5596.64885486575,4474.928132773142,Tropical Storm Jose
2017-09-19 04:00:00,29184.30464069106,79245.5209231343,13922.603112046269,38456.02690375886,12957.465668778332,5357.9926158678845,24873.214245211177,5588.8748196866545,4468.71222578483,Tropical Storm Jose
2017-09-19 05:00:00,29018.99681513876,78807.57020977259,13903.402848572274,38402.710127353355,12939.499447293903,5350.576819105389,24727.47696463364,5581.135335775024,4462.523945049798,Tropical Storm Jose
2017-09-19 06:00:00,28847.665627521797,78353.20599965786,13884.10610136223,38349.393350947845,12921.557870832088,5343.161022342894,24577.788704175993,5573.395851863393,4456.335664314765,Tropical Storm Jose
